Time,Press,Temp,Dewpt,RH,Ucmp,Vcmp,spd,dir,Wcm, Lon,Lat,Ele,Azi,Alt, Qp,Qt,Qr, Qu,Qv,Qd
   0.0,  954.4,  22.8,  14.9,  61.0,   -3.9,   -3.3,   5.1,  50.0, 999.0,  -64.212, -31.298, 999.0, 999.0,   490.0,  1.0,  1.0,  1.0,  1.0,  1.0,  9.0
   7.3,  950.0,  22.2,  13.3,  57.1,   -6.8,   -7.5,  10.2,  42.1,   6.5,  -64.212, -31.298, 999.0, 999.0,   529.4,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  16.9,  945.0,  22.0,  13.3,  57.9,   -6.9,   -7.2,  10.0,  43.8,   4.0,  -64.213, -31.299, 999.0, 999.0,   574.6,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  28.2,  940.0,  21.7,  12.5,  56.0,   -7.0,   -7.5,  10.3,  43.0,   4.0,  -64.214, -31.300, 999.0, 999.0,   620.6,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  39.3,  935.0,  21.4,  12.5,  56.7,   -7.3,   -7.8,  10.7,  43.0,   4.0,  -64.215, -31.300, 999.0, 999.0,   667.3,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  49.3,  930.0,  20.9,  12.3,  57.9,   -7.1,   -7.9,  10.7,  42.0,   5.5,  -64.214, -31.301, 999.0, 999.0,   714.3,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  58.0,  925.0,  20.5,  12.3,  59.4,   -7.1,   -7.8,  10.5,  42.5,   5.8,  -64.216, -31.302, 999.0, 999.0,   760.5,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  66.7,  920.0,  20.2,  12.2,  60.2,   -6.8,   -7.6,  10.2,  42.0,   5.5,  -64.217, -31.302, 999.0, 999.0,   807.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  75.5,  915.0,  19.7,  12.2,  61.8,   -6.1,   -7.5,   9.7,  39.0,   5.5,  -64.217, -31.303, 999.0, 999.0,   854.3,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  83.8,  910.0,  19.3,  12.1,  62.9,   -5.5,   -7.3,   9.1,  37.1,   6.0,  -64.218, -31.304, 999.0, 999.0,   902.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
