Time,Press,Temp,Dewpt,RH,Ucmp,Vcmp,spd,dir,Wcm, Lon,Lat,Ele,Azi,Alt, Qp,Qt,Qr, Qu,Qv,Qd
   0.0,  889.4,  14.4,  12.5,  88.2,   -0.3,   -3.1,   3.1,   5.0,   0.0,  -64.730, -32.130, 999.0, 999.0,  1139.4,  2.0,  2.0,  2.0,  1.0,  1.0, 99.0
   6.8,  885.0,  15.1,  11.9,  81.1,    0.1,   -4.0,   4.0, 358.6,   3.4,  -64.730, -32.130, 999.0, 999.0,  1180.2,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  16.8,  880.0,  14.7,  12.3,  85.4,   -0.1,   -5.6,   5.6,   1.0,   4.2,  -64.730, -32.131, 999.0, 999.0,  1230.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  27.0,  875.0,  14.3,  12.3,  87.5,   -0.6,   -6.4,   6.4,   5.4,   3.4,  -64.730, -32.131, 999.0, 999.0,  1276.1,  2.0,  1.0,  1.0,  1.0,  1.0, 99.0
  36.0,  870.0,  13.9,  12.5,  91.0,   -0.7,   -6.1,   6.1,   6.5,   6.3,  -64.730, -32.132, 999.0, 999.0,  1326.7,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  46.3,  865.0,  13.7,  12.1,  90.3,   -0.2,   -5.2,   5.2,   1.9,   4.7,  -64.730, -32.132, 999.0, 999.0,  1374.9,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  56.8,  860.0,  13.7,  11.3,  85.4,    1.0,   -4.2,   4.3, 346.9,   3.5,  -64.730, -32.133, 999.0, 999.0,  1423.8,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  66.6,  855.0,  13.3,  11.2,  87.3,    1.3,   -3.4,   3.7, 339.3,   5.7,  -64.730, -32.133, 999.0, 999.0,  1472.3,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  76.0,  850.0,  12.9,  11.1,  88.7,    1.1,   -2.7,   2.9, 337.8,   5.9,  -64.730, -32.133, 999.0, 999.0,  1522.4,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  86.2,  845.0,  12.5,  10.9,  90.1,    1.1,   -2.1,   2.4, 331.9,   4.8,  -64.730, -32.133, 999.0, 999.0,  1571.9,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  96.6,  840.0,  12.1,  10.6,  90.2,    1.9,   -1.7,   2.5, 312.4,   4.6,  -64.730, -32.134, 999.0, 999.0,  1622.3,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 107.5,  835.0,  11.7,  10.4,  91.5,    2.6,   -1.6,   3.1, 301.6,   4.6,  -64.729, -32.134, 999.0, 999.0,  1672.9,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 118.0,  830.0,  11.3,  10.2,  92.8,    2.9,   -1.8,   3.4, 301.8,   5.2,  -64.729, -32.134, 999.0, 999.0,  1722.7,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 127.8,  825.0,  11.1,   9.6,  90.2,    3.0,   -1.7,   3.4, 299.5,   6.3,  -64.729, -32.134, 999.0, 999.0,  1773.7,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 137.6,  820.0,  10.9,   9.5,  90.6,    2.9,   -1.3,   3.2, 293.9,   5.6,  -64.728, -32.134, 999.0, 999.0,  1823.9,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 147.6,  815.0,  10.7,   9.0,  89.0,    2.1,   -0.1,   2.1, 272.1,   4.6,  -64.728, -32.134, 999.0, 999.0,  1874.5,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 157.6,  810.0,  11.9,   6.6,  69.9,    0.7,    1.7,   1.8, 201.6,   5.3,  -64.728, -32.134, 999.0, 999.0,  1926.2,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 168.0,  805.0,  14.2,  -2.8,  30.8,   -0.6,    2.9,   3.0, 168.3,   5.8,  -64.728, -32.134, 999.0, 999.0,  1978.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 179.2,  800.0,  15.2, -14.2,  11.9,   -1.1,    3.4,   3.6, 162.5,   6.6,  -64.728, -32.134, 999.0, 999.0,  2029.6,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 189.5,  795.0,  15.4, -17.2,   9.1,   -0.8,    4.0,   4.0, 168.6,   4.9,  -64.728, -32.133, 999.0, 999.0,  2082.5,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 199.6,  790.0,  14.9, -17.2,   9.4,   -0.2,    4.1,   4.1, 177.2,   5.1,  -64.728, -32.133, 999.0, 999.0,  2136.4,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 210.7,  785.0,  14.6, -17.1,   9.7,    0.5,    3.4,   3.5, 187.9,   5.2,  -64.728, -32.133, 999.0, 999.0,  2189.9,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 221.4,  780.0,  14.1, -16.7,  10.3,    0.5,    3.0,   3.0, 189.5,   4.9,  -64.728, -32.132, 999.0, 999.0,  2245.5,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 231.4,  775.0,  13.8, -14.7,  12.5,    0.1,    3.6,   3.6, 181.6,   7.2,  -64.728, -32.132, 999.0, 999.0,  2300.6,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
