Time,Press,Temp,Dewpt,RH,Ucmp,Vcmp,spd,dir,Wcm, Lon,Lat,Ele,Azi,Alt, Qp,Qt,Qr, Qu,Qv,Qd
   0.0,  966.2,  18.3,  18.0,  98.1,    2.0,    0.7,   2.1, 250.0, 999.0,  -64.212, -31.298, 999.0, 999.0,   490.0,  1.0,  1.0,  1.0,  1.0,  1.0,  9.0
9999.0,  965.0, 999.0, 999.0, 999.0, 9999.0, 9999.0, 999.0, 999.0, 999.0, 9999.000, 999.000, 999.0, 999.0, 99999.0, 99.0,  9.0,  9.0,  9.0,  9.0,  9.0
   9.0,  960.0,  17.9,  16.9,  94.4,    2.7,    2.1,   3.4, 232.1,   6.5,  -64.212, -31.298, 999.0, 999.0,   545.5,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  16.3,  955.0,  17.5,  16.7,  95.2,    1.8,    2.6,   3.2, 215.4,   5.5,  -64.211, -31.298, 999.0, 999.0,   589.8,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  24.2,  950.0,  17.1,  16.5,  96.0,    0.8,    3.1,   3.2, 194.0,   5.0,  -64.211, -31.297, 999.0, 999.0,   634.9,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  32.5,  945.0,  16.8,  16.3,  96.7,   -0.4,    3.5,   3.5, 174.0,   5.5,  -64.211, -31.297, 999.0, 999.0,   680.5,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  40.3,  940.0,  16.5,  15.9,  95.9,   -1.4,    3.7,   3.9, 159.9,   7.0,  -64.211, -31.297, 999.0, 999.0,   725.9,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  48.0,  935.0,  16.9,  15.8,  93.5,   -2.7,    4.1,   4.9, 146.6,   5.5,  -64.212, -31.297, 999.0, 999.0,   771.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  56.1,  930.0,  16.7,  15.5,  92.5,   -3.8,    4.1,   5.6, 137.0,   7.0,  -64.212, -31.296, 999.0, 999.0,   816.9,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  64.5,  925.0,  16.5,  15.2,  92.0,   -4.8,    3.8,   6.1, 128.1,   5.5,  -64.212, -31.296, 999.0, 999.0,   863.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  73.5,  920.0,  16.6,  15.0,  90.1,   -5.7,    3.1,   6.5, 118.8,   5.5,  -64.213, -31.296, 999.0, 999.0,   909.3,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  82.3,  915.0,  16.4,  14.6,  89.2,   -6.5,    2.3,   6.9, 109.4,   5.5,  -64.213, -31.296, 999.0, 999.0,   955.8,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  91.1,  910.0,  16.1,  14.1,  87.9,   -7.3,    1.5,   7.5, 101.9,   6.0,  -64.214, -31.295, 999.0, 999.0,  1002.5,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  99.4,  905.0,  15.9,  14.0,  88.3,   -8.1,    0.8,   8.1,  95.6,   6.5,  -64.215, -31.295, 999.0, 999.0,  1050.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
