Time,Press,Temp,Dewpt,RH,Ucmp,Vcmp,spd,dir,Wcm, Lon,Lat,Ele,Azi,Alt, Qp,Qt,Qr, Qu,Qv,Qd
   0.0,  879.2,  18.9,   2.6,  33.7,   -2.6,   -8.0,   8.4,  18.0,   0.0,  -64.730, -32.130, 999.0, 999.0,  1139.4,  2.0,  2.0,  2.0,  1.0,  1.0, 99.0
   7.2,  875.0,  18.3,   1.5,  32.3,   -3.1,   -7.8,   8.4,  21.9,   5.7,  -64.730, -32.130, 999.0, 999.0,  1180.2,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  16.6,  870.0,  18.5,   1.3,  31.6,   -4.6,  -11.2,  12.1,  22.2,   5.8,  -64.731, -32.131, 999.0, 999.0,  1229.5,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  25.6,  865.0,  18.1,   1.2,  32.0,   -4.8,  -12.9,  13.8,  20.3,   3.6,  -64.731, -32.132, 999.0, 999.0,  1279.4,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  34.3,  860.0,  18.1,   0.8,  31.1,   -4.3,  -13.2,  13.9,  18.0,   6.2,  -64.731, -32.133, 999.0, 999.0,  1328.2,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  42.2,  855.0,  17.9,   0.8,  31.5,   -3.6,  -12.8,  13.3,  15.9,   5.0,  -64.732, -32.134, 999.0, 999.0,  1379.6,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  50.8,  850.0,  17.9,  -0.2,  29.5,   -2.5,  -11.7,  12.0,  12.0,   5.5,  -64.732, -32.135, 999.0, 999.0,  1429.6,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  60.6,  845.0,  17.9,  -0.8,  28.0,   -1.0,  -10.8,  10.8,   5.2,   5.5,  -64.732, -32.136, 999.0, 999.0,  1478.5,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  70.2,  840.0,  17.9,  -2.0,  25.8,    0.3,   -9.9,   9.9, 358.3,   5.3,  -64.732, -32.137, 999.0, 999.0,  1529.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  79.2,  835.0,  18.2,  -3.8,  22.1,    1.3,   -9.0,   9.1, 351.7,   7.4,  -64.732, -32.138, 999.0, 999.0,  1580.9,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  88.0,  830.0,  18.4,  -4.4,  20.9,    2.0,   -8.2,   8.4, 346.3,   4.9,  -64.732, -32.138, 999.0, 999.0,  1632.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  97.4,  825.0,  18.0,  -4.5,  21.3,    2.7,   -7.3,   7.8, 339.4,   5.9,  -64.732, -32.139, 999.0, 999.0,  1683.4,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 106.0,  820.0,  17.5,  -4.6,  21.8,    3.5,   -6.5,   7.4, 331.7,   5.8,  -64.732, -32.140, 999.0, 999.0,  1735.2,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 114.7,  815.0,  17.2,  -4.7,  22.0,    4.3,   -5.7,   7.1, 323.2,   4.0,  -64.731, -32.140, 999.0, 999.0,  1787.2,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
